function,n,loops,best_ns,ns_per_element
combine1,256,65536,18421541,1.0980094075202942
combine2,256,65536,18456708,1.1001055240631104
combine3,256,65536,14535625,0.8663907647132874
combine1,512,32768,11235833,0.6697078347206116
combine2,512,32768,11420541,0.6807172894477844
combine3,512,65536,15626667,0.46571096777915955
combine1,1024,32768,15139000,0.45117735862731934
combine2,1024,32768,16410458,0.48906975984573364
combine3,1024,65536,17735208,0.2642751932144165
combine1,2048,16384,11408041,0.339986115694046
combine2,2048,16384,12491125,0.3722645342350006
combine3,2048,32768,10716042,0.15968146920204163
combine1,4096,16384,19513250,0.2907700836658478
combine2,4096,8192,10691041,0.3186178505420685
combine3,4096,32768,14641416,0.10908704996109009
combine1,8192,8192,18045250,0.2688951790332794
combine2,8192,4096,9923500,0.29574334621429443
combine3,8192,16384,11179834,0.08329625427722931
combine1,16384,4096,17516583,0.26101742684841156
combine2,16384,4096,19536417,0.29111529886722565
combine3,16384,16384,19419541,0.07234342768788338
combine1,32768,2048,17089167,0.25464843213558197
combine2,32768,2048,19379958,0.28878387808799744
combine3,32768,4096,10146834,0.075599804520607
combine1,65536,1024,16815500,0.25057047605514526
combine2,65536,1024,18389709,0.274028018116951
combine3,65536,4096,19167292,0.07140372693538666
combine1,131072,512,16720375,0.2491530030965805
combine2,131072,512,18565417,0.2766462713479996
combine3,131072,2048,18700083,0.06966323778033257
combine1,262144,256,16959458,0.2527156174182892
combine2,262144,128,12278166,0.3659178614616394
combine3,262144,1024,18431125,0.06866129115223885
combine1,524288,128,17054750,0.2541355788707733
combine2,524288,64,12298917,0.36653628945350647
combine3,524288,512,18242666,0.06795922666788101
combine1,1048576,64,16809125,0.2504754811525345
combine2,1048576,32,12419458,0.37012869119644165
combine3,1048576,256,18178375,0.0677197240293026
